active_users,avg_performance,avg_score,country_name,performance,play_count,ranked_score,ranking
"919,543,778,730,213,862,263,525,211,508,206,035,154,060,200,234,269,102,157,081,146,846,99,274,103,068,126,004,132,056,82,965,85,397,116,279,144,528,102,328,98,962,108,840,42,467,72,364,91,025,43,462,33,334,119,310,42,064,33,192,75,013,48,611,39,439,64,210,32,321,36,850,34,519,30,945,17,214,27,295,23,231,46,662,18,674,18,501,20,025,15,118,15,732,20,421,12,242,14,964","603,407,662,456,542,546,729,530,390,600,516,669,623,435,406,607,569,403,316,413,424,370,882,487,375,731,940,243,687,774,323,442,460,274,524,433,462,508,877,553,648,279,687,691,577,735,607,453,677,511","576.97M,333.82M,783.52M,485.66M,545.29M,526.00M,729.83M,395.42M,313.30M,605.07M,458.95M,644.12M,764.76M,342.90M,310.53M,575.97M,672.79M,633.56M,226.87M,312.20M,366.37M,310.19M,877.66M,433.56M,290.13M,833.64M,1.27B,157.79M,839.75M,953.28M,222.49M,401.02M,394.78M,189.44M,445.86M,339.82M,397.25M,481.09M,1.18B,597.85M,744.96M,194.00M,704.43M,807.94M,510.74M,878.25M,675.27M,410.95M,689.77M,477.16M","UnitedStates,RussianFederation,Germany,Japan,Poland,France,Canada,Philippines,Brazil,UnitedKingdom,Indonesia,Australia,Taiwan,Chile,Ukraine,Malaysia,SouthKorea,China,Mexico,Thailand,Argentina,Vietnam,Singapore,Italy,Spain,HongKong,Finland,Türkiye,Netherlands,Sweden,Peru,Czechia,Romania,Colombia,Portugal,Belarus,Kazakhstan,Hungary,Norway,Belgium,Austria,India,NewZealand,Lithuania,Israel,Denmark,Switzerland,Greece,Estonia,Bulgaria","554.64M,316.62M,141.51M,120.16M,114.72M,112.56M,112.34M,106.12M,105.07M,94.30M,75.82M,66.46M,64.21M,54.80M,53.58M,50.39M,48.60M,46.87M,45.73M,42.30M,41.99M,40.22M,37.47M,35.24M,34.11M,31.78M,31.33M,28.94M,28.88M,25.68M,24.23M,21.47M,18.15M,17.60M,16.92M,15.96M,15.96M,15.71M,15.09M,15.08M,15.05M,13.00M,12.83M,12.78M,11.56M,11.11M,9.54M,9.25M,8.28M,7.65M","3.12B,1.86B,830.29M,648.49M,676.66M,646.14M,633.04M,624.50M,645.50M,533.01M,417.66M,367.93M,350.10M,317.44M,317.20M,279.92M,256.70M,256.92M,264.60M,224.84M,258.85M,231.37M,203.24M,200.87M,187.31M,173.97M,212.21M,153.28M,170.27M,164.39M,142.72M,116.16M,98.24M,99.59M,94.25M,92.51M,95.32M,90.92M,100.16M,84.99M,89.71M,72.21M,73.04M,73.38M,70.65M,67.53M,54.24M,55.31M,47.10M,45.84M","530.55T,259.96T,167.57T,127.98T,115.33T,108.37T,112.44T,79.18T,84.31T,95.04T,67.39T,63.94T,78.82T,43.21T,41.01T,47.79T,57.45T,73.67T,32.79T,31.95T,36.26T,33.76T,37.27T,31.37T,26.41T,36.23T,42.25T,18.83T,35.32T,31.64T,16.69T,19.49T,15.57T,12.16T,14.41T,12.52T,13.71T,14.89T,20.39T,16.32T,17.31T,9.05T,13.15T,14.95T,10.23T,13.28T,10.62T,8.39T,8.44T,7.14T","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50"
"13,254,16,261,25,571,18,172,15,004,11,703,12,684,9,226,10,924,6,882,8,642,10,694,9,245,11,981,5,076,7,471,6,903,6,244,6,903,8,455,9,179,5,448,5,397,3,500,2,735,4,191,4,344,4,583,5,273,5,026,3,412,4,754,4,919,3,065,5,195,2,846,2,643,3,674,4,202,1,795,2,691,2,607,1,470,2,693,2,349,2,153,1,768,3,014,1,306,1,980","576,463,274,385,410,513,438,598,475,598,450,350,379,285,621,373,402,405,356,277,242,398,386,544,655,419,392,371,318,333,489,350,329,513,299,522,520,370,316,739,443,425,727,396,437,464,522,291,610,402","584.93M,438.27M,173.00M,308.46M,347.11M,477.04M,397.89M,622.26M,345.31M,584.56M,439.19M,241.78M,268.99M,219.32M,737.19M,336.18M,292.72M,293.21M,234.75M,184.42M,139.60M,237.73M,341.99M,499.51M,587.30M,376.46M,298.77M,252.68M,200.05M,254.03M,432.50M,266.15M,187.31M,430.51M,237.84M,481.72M,489.36M,283.92M,205.16M,780.07M,370.95M,378.30M,787.25M,320.87M,302.15M,330.61M,517.48M,211.37M,554.95M,254.87M","Latvia,Slovakia,Ecuador,Venezuela,SaudiArabia,Serbia,SouthAfrica,Ireland,UnitedArabEmirates,Croatia,Uruguay,CostaRica,Morocco,Egypt,Slovenia,DominicanRepublic,Moldova,Panama,Algeria,Guatemala,Bolivia,Tunisia,Mongolia,Cambodia,Brunei,PuertoRico,Paraguay,Nepal,Myanmar,Georgia,Kuwait,Pakistan,Bangladesh,Qatar,ElSalvador,Reunion,TrinidadandTobago,Uzbekistan,Honduras,Macau,Jordan,Kyrgyzstan,Luxembourg,BosniaandHerzegovina,Cyprus,NorthMacedonia,Bahrain,Iraq,Maldives,Lebanon","7.63M,7.54M,7.01M,7.00M,6.15M,6.00M,5.55M,5.52M,5.18M,4.11M,3.89M,3.74M,3.50M,3.41M,3.15M,2.79M,2.77M,2.53M,2.46M,2.34M,2.22M,2.17M,2.08M,1.90M,1.79M,1.75M,1.70M,1.70M,1.68M,1.67M,1.67M,1.67M,1.62M,1.57M,1.55M,1.49M,1.38M,1.36M,1.33M,1.33M,1.19M,1.11M,1.07M,1.07M,1.03M,998.22K,923.72K,876.89K,796.99K,796.75K","44.74M,41.95M,41.94M,40.80M,39.54M,35.30M,30.89M,34.04M,29.74M,24.47M,24.60M,22.51M,19.67M,19.35M,17.15M,16.98M,15.63M,14.77M,13.75M,12.78M,12.96M,11.96M,11.28M,11.08M,10.98M,10.37M,10.12M,9.02M,7.77M,10.02M,10.12M,9.45M,9.06M,9.52M,10.40M,9.45M,9.27M,7.85M,7.66M,7.03M,6.57M,6.25M,6.01M,5.91M,5.59M,5.67M,5.81M,5.45M,4.88M,4.34M","7.75T,7.13T,4.42T,5.61T,5.21T,5.58T,5.05T,5.74T,3.77T,4.02T,3.80T,2.59T,2.49T,2.63T,3.74T,2.51T,2.02T,1.83T,1.62T,1.56T,1.28T,1.30T,1.85T,1.75T,1.61T,1.58T,1.30T,1.16T,1.05T,1.28T,1.48T,1.27T,921.38B,1.32T,1.24T,1.37T,1.29T,1.04T,862.10B,1.40T,998.22B,986.22B,1.16T,864.11B,709.75B,711.80B,914.91B,637.06B,724.76B,504.64B","51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100"
